FullVersion,MajorVersion,ServicePack,CumulativeUpdate
9.00.5266,2005,SP4,3
9.00.5259,2005,SP4,2
9.00.5254,2005,SP4,1
9.00.5000,2005,SP4,
9.00.4035,2005,SP3,
9.00.3042,2005,SP2,
9.00.2047,2005,SP1,
10.00.6000,2008,SP4,
10.00.5861,2008,SP4,19
10.00.5852,2008,SP4,18
10.00.5850,2008,SP4,17
10.00.5848,2008,SP4,16
10.00.5846,2008,SP4,15
10.00.5844,2008,SP4,14
10.00.5841,2008,SP4,13
10.00.5840,2008,SP4,12
10.00.5835,2008,SP4,11
10.00.5829,2008,SP4,10
10.00.5828,2008,SP4,9
10.00.5826,2008,SP4,8
10.00.5794,2008,SP4,7
10.00.5788,2008,SP4,6
10.00.5785,2008,SP4,5
10.00.5775,2008,SP4,4
10.00.5770,2008,SP4,3
10.00.5768,2008,SP4,2
10.00.5766,2008,SP4,1
10.00.5500,2008,SP4,
10.00.4000,2008,SP3,
10.00.2531,2008,SP2,
10.00.1600,2008,SP1,
10.50.6000.34,2008R2,SP3,
10.50.4319,2008R2,SP2,13
10.50.4305,2008R2,SP2,12
10.50.4302,2008R2,SP2,11
10.50.4297,2008R2,SP2,10
10.50.4295,2008R2,SP2,9
10.50.4290,2008R2,SP2,8
10.50.4286,2008R2,SP2,7
10.50.4285,2008R2,SP2,6
10.50.4276,2008R2,SP2,5
10.50.4270,2008R2,SP2,4
10.50.4266,2008R2,SP2,3
10.50.4263,2008R2,SP2,2
10.50.4260,2008R2,SP2,1
10.50.4000.0,2008R2,SP2,
10.50.2500.0,2008R2,SP1,
11.0.7001.0,2012,SP4,
11.0.6607.3,2012,SP3,10
11.0.6598.0,2012,SP3,9
11.0.6594.0,2012,SP3,8
11.0.6579.0,2012,SP3,7
11.0.6567.0,2012,SP3,6
11.0.6544.0,2012,SP3,5
11.0.6540.0,2012,SP3,4
11.0.6537.0,2012,SP3,3
11.0.6523.0,2012,SP3,2
11.0.6518.0,2012,SP3,1
11.0.6020,2012,SP3,
11.0.5678.0,2012,SP2,15
11.0.5657.0,2012,SP2,14
11.0.5655.0,2012,SP2,13
11.0.5649.0,2012,SP2,12
11.0.5646.0,2012,SP2,11
11.0.5644.2,2012,SP2,10
11.0.5641,2012,SP2,9
11.0.5634.1,2012,SP2,8
11.0.5623,2012,SP2,7
11.0.5592,2012,SP2,6
11.0.5582,2012,SP2,5
11.0.5569,2012,SP2,4
11.0.5556,2012,SP2,3
11.0.5548,2012,SP2,2
11.0.5532,2012,SP2,1
11.0.5058,2012,SP2,
11.0.3492,2012,SP1,16
11.0.3487,2012,SP1,15
11.0.3486,2012,SP1,14
11.0.3482,2012,SP1,13
11.0.3470,2012,SP1,12
11.0.3449,2012,SP1,11
11.0.3431,2012,SP1,10
11.0.3412,2012,SP1,9
11.0.3401,2012,SP1,8
11.0.3393,2012,SP1,7
11.0.3381,2012,SP1,6
11.0.3373,2012,SP1,5
11.0.3368,2012,SP1,4
11.0.3349,2012,SP1,3
11.0.3339,2012,SP1,2
11.0.3321,2012,SP1,1
11.0.3000,2012,SP1,
12.0.5590.1,2014,SP2,13
12.0.5589.7,2014,SP2,12
12.0.5579.0,2014,SP2,11
12.0.5571.0,2014,SP2,10
12.0.5563.0,2014,SP2,9
12.0.5557.0,2014,SP2,8
12.0.5556.0,2014,SP2,7
12.0.5553.0,2014,SP2,6
12.0.5546.0,2014,SP2,5
12.0.5540.0,2014,SP2,4
12.0.5538.0,2014,SP2,3
12.0.5522.0,2014,SP2,2
12.0.5511.0,2014,SP2,1
12.0.5000.0,2014,SP2,
12.0.4522.0,2014,SP1,13
12.0.4511.0,2014,SP1,12
12.0.4502.0,2014,SP1,11
12.0.4491.0,2014,SP1,10
12.0.4474.0,2014,SP1,9
12.0.4468.0,2014,SP1,8
12.0.4459.0,2014,SP1,7
12.0.4457.0,2014,SP1,6
12.0.4439.1,2014,SP1,5
12.0.4436.0,2014,SP1,4
12.0.4427.24,2014,SP1,3
12.0.4422.0,2014,SP1,2
12.0.4416.0,2014,SP1,1
12.0.4100.1,2014,SP1,
12.0.2569.0,2014,,14
12.0.2568.0,2014,,13
12.0.2564.0,2014,,12
12.0.2560.0,2014,,11
12.0.2556.4,2014,,10
12.0.2553.0,2014,,9
12.0.2546.0,2014,,8
12.0.2495.0,2014,,7
12.0.2480.0,2014,,6
12.0.2456.0,2014,,5
12.0.2430.0,2014,,4
12.0.2402.0,2014,,3
12.0.2370.0,2014,,2
12.0.2342.0,2014,,1
12.0.2000.0,2014,,
13.0.5216.0,2016,SP2,3
13.0.5153.0,2016,SP2,2
13.0.5149.0,2016,SP2,1
13.0.5026.0,2016,SP2,
13.0.4528.0,2016,SP1,11
13.0.4514.0,2016,SP1,10
13.0.4502.0,2016,SP1,9
13.0.4474.0,2016,SP1,8
13.0.4466.4,2016,SP1,7
13.0.4457.0,2016,SP1,6
13.0.4451.0,2016,SP1,5
13.0.4446.0,2016,SP1,4
13.0.4435.0,2016,SP1,3
13.0.4422.0,2016,SP1,2
13.0.4411.0,2016,SP1,1
13.0.4001.0,2016,SP1,
13.0.2216.0,2016,,9
13.0.2213.0,2016,,8
13.0.2210.0,2016,,7
13.0.2204.0,2016,,6
13.0.2197.0,2016,,5
13.0.2193.0,2016,,4
13.0.2186.6,2016,,3
13.0.2164.0,2016,,2
13.0.2149.0,2016,,1
13.0.1601.5,2016,,
14.0.3038.14,2017,,11
14.0.3037.1,2017,,10
14.0.3030.27,2017,,9
14.0.3029.16,2017,,8
14.0.3026.27,2017,,7
14.0.3025.34,2017,,6
14.0.3023.8,2017,,5
14.0.3022.28,2017,,4
14.0.3015.40,2017,,3
14.0.3008.27,2017,,2
14.0.3006.16,2017,,1
14.0.1000.169,2017,,
